date,open,high,low,close,volume
2024-02-16,202.06,203.17,197.4,199.95,111346705.0
2024-02-15,189.16,200.88,188.8595,200.45,120831762.0
2024-02-14,185.3,188.89,183.35,188.71,81202987.0
2024-02-13,183.99,187.26,182.1087,184.02,86759478.0
2024-02-12,192.11,194.73,187.28,188.13,95498597.0
2024-02-09,190.18,194.12,189.48,193.57,84476347.0
2024-02-08,189.0,191.6171,185.58,189.56,83034043.0
2024-02-07,188.18,189.79,182.68,187.58,111535217.0
2024-02-06,177.21,186.49,177.11,185.1,122675954.0
2024-02-05,184.26,184.68,175.01,181.06,134294447.0
2024-02-02,185.04,188.69,182.0,187.91,110612672.0
2024-02-01,188.5,189.88,184.28,188.86,91843275.0
2024-01-31,186.995,193.97,185.8459,187.29,103221430.0
2024-01-30,195.33,196.3593,190.61,191.59,109982327.0
2024-01-29,185.63,191.48,183.67,190.93,125013148.0
2024-01-26,185.5,186.78,182.1,183.25,107343231.0
2024-01-25,189.7,193.0,180.06,182.63,198076787.0
2024-01-24,211.88,212.73,206.77,207.83,112930989.0
2024-01-23,211.3,215.65,207.7516,209.14,106605946.0
2024-01-22,212.26,217.8,206.27,208.8,117952527.0
2024-01-19,209.99,213.19,207.56,212.19,102260343.0
2024-01-18,216.88,217.45,208.74,211.88,108595431.0
2024-01-17,214.86,215.67,212.01,215.55,103164400.0
2024-01-16,215.1,223.49,212.18,219.91,115355046.0
2024-01-12,220.08,225.34,217.1501,218.89,123043812.0
2024-01-11,230.57,230.93,225.37,227.22,105873612.0
2024-01-10,235.1,235.5,231.29,233.94,91628502.0
2024-01-09,238.11,238.9646,232.04,234.96,96705664.0
2024-01-08,236.14,241.25,235.3,240.45,85166580.0
2024-01-05,236.86,240.1196,234.9001,237.49,92240035.0
2024-01-04,239.25,242.7,237.73,237.93,102629283.0
2024-01-03,244.98,245.68,236.32,238.45,121082599.0
2024-01-02,250.08,251.25,244.41,248.42,104654163.0
2023-12-29,255.1,255.19,247.43,248.48,100891578.0
2023-12-28,263.66,265.13,252.71,253.18,113619943.0
2023-12-27,258.35,263.34,257.52,261.44,105853348.0
2023-12-26,254.49,257.97,252.91,256.61,86892382.0
2023-12-22,256.76,258.22,251.37,252.54,93370094.0
2023-12-21,251.9,254.7999,248.55,254.5,109594227.0
2023-12-20,256.41,259.84,247.0,247.14,125096987.0
2023-12-19,253.48,258.3399,253.01,257.22,106287276.0
2023-12-18,253.78,258.74,251.36,252.08,116416490.0
2023-12-15,251.21,254.13,248.3,253.5,135932762.0
